"Pokemon","Move","Type","Power","Acc","Lvl","HM","TM","Method"
"Zubat","Mega Drain","Grass","40","100",NA,NA,21,"Technical Machine"
"Zubat","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Zubat","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Zubat","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Zubat","Swift","Normal","60","∞",NA,NA,39,"Technical Machine"
"Zubat","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Zubat","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Golbat","Bite","Normal","60","100",1,NA,NA,"Level up"
"Golbat","Leech Life","Bug","20","100",1,NA,NA,"Level up"
"Golbat","Screech","Normal","—","85",1,NA,NA,"Level up"
"Golbat","Supersonic","Normal","—","55",10,NA,NA,"Level up"
"Golbat","Bite","Normal","60","100",15,NA,NA,"Level up"
"Golbat","Confuse Ray","Ghost","—","100",21,NA,NA,"Level up"
"Golbat","Wing Attack","Flying","35","100",32,NA,NA,"Level up"
"Golbat","Haze","Ice","—","—",43,NA,NA,"Level up"
"Golbat","Razor Wind","Normal","80","75",NA,NA,2,"Technical Machine"
"Golbat","Whirlwind","Normal","—","85",NA,NA,4,"Technical Machine"
"Golbat","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Golbat","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Golbat","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Golbat","Hyper Beam","Normal","150","90",NA,NA,15,"Technical Machine"
"Golbat","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Golbat","Mega Drain","Grass","40","100",NA,NA,21,"Technical Machine"
"Golbat","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Golbat","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Golbat","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Golbat","Swift","Normal","60","∞",NA,NA,39,"Technical Machine"
"Golbat","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Golbat","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Oddish","Absorb","Grass","20","100",1,NA,NA,"Level up"
"Oddish","PoisonPowder","Poison","—","75",15,NA,NA,"Level up"
"Oddish","Stun Spore","Grass","—","75",17,NA,NA,"Level up"
"Oddish","Sleep Powder","Grass","—","75",19,NA,NA,"Level up"
"Oddish","Acid","Poison","40","100",24,NA,NA,"Level up"
"Oddish","Petal Dance","Grass","70","100",33,NA,NA,"Level up"
"Oddish","SolarBeam","Grass","120","100",46,NA,NA,"Level up"
"Oddish","Cut","Normal","50","95",NA,1,NA,"Hidden Machine"
"Oddish","Swords Dance","Normal","—","—",NA,NA,3,"Technical Machine"
"Oddish","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Oddish","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Oddish","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Oddish","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Oddish","Mega Drain","Grass","40","100",NA,NA,21,"Technical Machine"
"Oddish","SolarBeam","Grass","120","100",NA,NA,22,"Technical Machine"
"Oddish","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Oddish","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Oddish","Reflect","Psychic","—","—",NA,NA,33,"Technical Machine"
"Oddish","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Oddish","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Oddish","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Gloom","Absorb","Grass","20","100",1,NA,NA,"Level up"
"Gloom","PoisonPowder","Poison","—","75",1,NA,NA,"Level up"
"Gloom","Stun Spore","Grass","—","75",1,NA,NA,"Level up"
"Gloom","PoisonPowder","Poison","—","75",15,NA,NA,"Level up"
"Gloom","Stun Spore","Grass","—","75",17,NA,NA,"Level up"
"Gloom","Sleep Powder","Grass","—","75",19,NA,NA,"Level up"
"Gloom","Acid","Poison","40","100",28,NA,NA,"Level up"
"Gloom","Petal Dance","Grass","70","100",38,NA,NA,"Level up"
"Gloom","SolarBeam","Grass","120","100",52,NA,NA,"Level up"
"Gloom","Cut","Normal","50","95",NA,1,NA,"Hidden Machine"
"Gloom","Swords Dance","Normal","—","—",NA,NA,3,"Technical Machine"
"Gloom","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Gloom","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Gloom","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Gloom","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Gloom","Mega Drain","Grass","40","100",NA,NA,21,"Technical Machine"
"Gloom","SolarBeam","Grass","120","100",NA,NA,22,"Technical Machine"
"Gloom","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Gloom","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Gloom","Reflect","Psychic","—","—",NA,NA,33,"Technical Machine"
"Gloom","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Gloom","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Gloom","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Vileplume","Acid","Poison","40","100",1,NA,NA,"Level up"
"Vileplume","Petal Dance","Grass","70","100",1,NA,NA,"Level up"
"Vileplume","Sleep Powder","Grass","—","75",1,NA,NA,"Level up"
"Vileplume","Stun Spore","Grass","—","75",1,NA,NA,"Level up"
"Vileplume","PoisonPowder","Poison","—","75",15,NA,NA,"Level up"
"Vileplume","Stun Spore","Grass","—","75",17,NA,NA,"Level up"
"Vileplume","Sleep Powder","Grass","—","75",19,NA,NA,"Level up"
"Vileplume","Cut","Normal","50","95",NA,1,NA,"Hidden Machine"
"Vileplume","Swords Dance","Normal","—","—",NA,NA,3,"Technical Machine"
"Vileplume","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Vileplume","Body Slam","Normal","85","100",NA,NA,8,"Technical Machine"
"Vileplume","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Vileplume","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Vileplume","Hyper Beam","Normal","150","90",NA,NA,15,"Technical Machine"
"Vileplume","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Vileplume","Mega Drain","Grass","40","100",NA,NA,21,"Technical Machine"
"Vileplume","SolarBeam","Grass","120","100",NA,NA,22,"Technical Machine"
"Vileplume","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Vileplume","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Vileplume","Reflect","Psychic","—","—",NA,NA,33,"Technical Machine"
"Vileplume","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Vileplume","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Vileplume","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Paras","Scratch","Normal","40","100",1,NA,NA,"Level up"
"Paras","Stun Spore","Grass","—","75",13,NA,NA,"Level up"
"Paras","Leech Life","Bug","20","100",20,NA,NA,"Level up"
"Paras","Spore","Grass","—","100",27,NA,NA,"Level up"
"Paras","Slash","Normal","70","100",34,NA,NA,"Level up"
"Paras","Growth","Normal","—","—",41,NA,NA,"Level up"
"Paras","Cut","Normal","50","95",NA,1,NA,"Hidden Machine"
"Paras","Swords Dance","Normal","—","—",NA,NA,3,"Technical Machine"
"Paras","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Paras","Body Slam","Normal","85","100",NA,NA,8,"Technical Machine"
"Paras","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Paras","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Paras","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Paras","Mega Drain","Grass","40","100",NA,NA,21,"Technical Machine"
"Paras","SolarBeam","Grass","120","100",NA,NA,22,"Technical Machine"
"Paras","Dig","Ground","100","100",NA,NA,28,"Technical Machine"
"Paras","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Paras","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Paras","Reflect","Psychic","—","—",NA,NA,33,"Technical Machine"
"Paras","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Paras","Skull Bash","Normal","100","100",NA,NA,40,"Technical Machine"
"Paras","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Paras","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Parasect","Leech Life","Bug","20","100",1,NA,NA,"Level up"
"Parasect","Scratch","Normal","40","100",1,NA,NA,"Level up"
"Parasect","Stun Spore","Grass","—","75",1,NA,NA,"Level up"
"Parasect","Stun Spore","Grass","—","75",13,NA,NA,"Level up"
"Parasect","Leech Life","Bug","20","100",20,NA,NA,"Level up"
"Parasect","Spore","Grass","—","100",30,NA,NA,"Level up"
"Parasect","Slash","Normal","70","100",39,NA,NA,"Level up"
"Parasect","Growth","Normal","—","—",48,NA,NA,"Level up"
"Parasect","Cut","Normal","50","95",NA,1,NA,"Hidden Machine"
"Parasect","Swords Dance","Normal","—","—",NA,NA,3,"Technical Machine"
"Parasect","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Parasect","Body Slam","Normal","85","100",NA,NA,8,"Technical Machine"
"Parasect","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Parasect","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Parasect","Hyper Beam","Normal","150","90",NA,NA,15,"Technical Machine"
"Parasect","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Parasect","Mega Drain","Grass","40","100",NA,NA,21,"Technical Machine"
"Parasect","SolarBeam","Grass","120","100",NA,NA,22,"Technical Machine"
"Parasect","Dig","Ground","100","100",NA,NA,28,"Technical Machine"
"Parasect","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Parasect","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Parasect","Reflect","Psychic","—","—",NA,NA,33,"Technical Machine"
"Parasect","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Parasect","Skull Bash","Normal","100","100",NA,NA,40,"Technical Machine"
"Parasect","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Parasect","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Venonat","Disable","Normal","—","55",1,NA,NA,"Level up"
"Venonat","Tackle","Normal","35","95",1,NA,NA,"Level up"
"Venonat","PoisonPowder","Poison","—","75",24,NA,NA,"Level up"
"Venonat","Leech Life","Bug","20","100",27,NA,NA,"Level up"
"Venonat","Stun Spore","Grass","—","75",30,NA,NA,"Level up"
"Venonat","Psybeam","Psychic","65","100",35,NA,NA,"Level up"
"Venonat","Sleep Powder","Grass","—","75",38,NA,NA,"Level up"
"Venonat","Psychic","Psychic","90","100",43,NA,NA,"Level up"
"Venonat","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Venonat","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Venonat","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Venonat","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Venonat","Mega Drain","Grass","40","100",NA,NA,21,"Technical Machine"
"Venonat","SolarBeam","Grass","120","100",NA,NA,22,"Technical Machine"
"Venonat","Psychic","Psychic","90","100",NA,NA,29,"Technical Machine"
"Venonat","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Venonat","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Venonat","Reflect","Psychic","—","—",NA,NA,33,"Technical Machine"
"Venonat","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Venonat","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Venonat","Psywave","Psychic","—","80",NA,NA,46,"Technical Machine"
"Venonat","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Venomoth","Disable","Normal","—","55",1,NA,NA,"Level up"
"Venomoth","Leech Life","Bug","20","100",1,NA,NA,"Level up"
"Venomoth","PoisonPowder","Poison","—","75",1,NA,NA,"Level up"
"Venomoth","Tackle","Normal","35","95",1,NA,NA,"Level up"
"Venomoth","PoisonPowder","Poison","—","75",24,NA,NA,"Level up"
"Venomoth","Leech Life","Bug","20","100",27,NA,NA,"Level up"
"Venomoth","Stun Spore","Grass","—","75",30,NA,NA,"Level up"
"Venomoth","Psybeam","Psychic","65","100",38,NA,NA,"Level up"
"Venomoth","Sleep Powder","Grass","—","75",43,NA,NA,"Level up"
"Venomoth","Psychic","Psychic","90","100",50,NA,NA,"Level up"
"Venomoth","Razor Wind","Normal","80","75",NA,NA,2,"Technical Machine"
"Venomoth","Whirlwind","Normal","—","85",NA,NA,4,"Technical Machine"
"Venomoth","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Venomoth","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Venomoth","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Venomoth","Hyper Beam","Normal","150","90",NA,NA,15,"Technical Machine"
"Venomoth","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Venomoth","Mega Drain","Grass","40","100",NA,NA,21,"Technical Machine"
"Venomoth","SolarBeam","Grass","120","100",NA,NA,22,"Technical Machine"
"Venomoth","Psychic","Psychic","90","100",NA,NA,29,"Technical Machine"
"Venomoth","Teleport","Psychic","—","—",NA,NA,30,"Technical Machine"
"Venomoth","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Venomoth","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Venomoth","Reflect","Psychic","—","—",NA,NA,33,"Technical Machine"
"Venomoth","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Venomoth","Swift","Normal","60","∞",NA,NA,39,"Technical Machine"
"Venomoth","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Venomoth","Psywave","Psychic","—","80",NA,NA,46,"Technical Machine"
"Venomoth","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Diglett","Scratch","Normal","40","100",1,NA,NA,"Level up"
"Diglett","Growl","Normal","—","100",15,NA,NA,"Level up"
"Diglett","Dig","Ground","100","100",19,NA,NA,"Level up"
"Diglett","Sand-Attack","Normal","—","100",24,NA,NA,"Level up"
"Diglett","Slash","Normal","70","100",31,NA,NA,"Level up"
"Diglett","Earthquake","Ground","100","100",40,NA,NA,"Level up"
"Diglett","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Diglett","Body Slam","Normal","85","100",NA,NA,8,"Technical Machine"
"Diglett","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Diglett","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Diglett","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Diglett","Earthquake","Ground","100","100",NA,NA,26,"Technical Machine"
"Diglett","Fissure","Ground","—","30",NA,NA,27,"Technical Machine"
"Diglett","Dig","Ground","100","100",NA,NA,28,"Technical Machine"
"Diglett","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Diglett","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Diglett","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Diglett","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Diglett","Rock Slide","Rock","75","90",NA,NA,48,"Technical Machine"
"Diglett","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Dugtrio","Dig","Ground","100","100",1,NA,NA,"Level up"
"Dugtrio","Growl","Normal","—","100",1,NA,NA,"Level up"
"Dugtrio","Scratch","Normal","40","100",1,NA,NA,"Level up"
"Dugtrio","Growl","Normal","—","100",15,NA,NA,"Level up"
"Dugtrio","Dig","Ground","100","100",19,NA,NA,"Level up"
"Dugtrio","Sand-Attack","Normal","—","100",24,NA,NA,"Level up"
"Dugtrio","Slash","Normal","70","100",35,NA,NA,"Level up"
"Dugtrio","Earthquake","Ground","100","100",47,NA,NA,"Level up"
"Dugtrio","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Dugtrio","Body Slam","Normal","85","100",NA,NA,8,"Technical Machine"
"Dugtrio","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Dugtrio","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Dugtrio","Hyper Beam","Normal","150","90",NA,NA,15,"Technical Machine"
"Dugtrio","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Dugtrio","Earthquake","Ground","100","100",NA,NA,26,"Technical Machine"
"Dugtrio","Fissure","Ground","—","30",NA,NA,27,"Technical Machine"
"Dugtrio","Dig","Ground","100","100",NA,NA,28,"Technical Machine"
"Dugtrio","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Dugtrio","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Dugtrio","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Dugtrio","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Dugtrio","Rock Slide","Rock","75","90",NA,NA,48,"Technical Machine"
"Dugtrio","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Meowth","Growl","Normal","—","100",1,NA,NA,"Level up"
"Meowth","Scratch","Normal","40","100",1,NA,NA,"Level up"
"Meowth","Bite","Normal","60","100",12,NA,NA,"Level up"
"Meowth","Pay Day","Normal","40","100",17,NA,NA,"Level up"
"Meowth","Screech","Normal","—","85",24,NA,NA,"Level up"
"Meowth","Fury Swipes","Normal","18","80",33,NA,NA,"Level up"
"Meowth","Slash","Normal","70","100",44,NA,NA,"Level up"
"Meowth","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Meowth","Body Slam","Normal","85","100",NA,NA,8,"Technical Machine"
"Meowth","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Meowth","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Meowth","BubbleBeam","Water","65","100",NA,NA,11,"Technical Machine"
"Meowth","Water Gun","Water","40","100",NA,NA,12,"Technical Machine"
"Meowth","Pay Day","Normal","40","100",NA,NA,16,"Technical Machine"
"Meowth","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Meowth","Thunderbolt","Electric","95","100",NA,NA,24,"Technical Machine"
"Meowth","Thunder","Electric","120","70",NA,NA,25,"Technical Machine"
"Meowth","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Meowth","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Meowth","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Meowth","Swift","Normal","60","∞",NA,NA,39,"Technical Machine"
"Meowth","Skull Bash","Normal","100","100",NA,NA,40,"Technical Machine"
"Meowth","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Meowth","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Persian","Bite","Normal","60","100",1,NA,NA,"Level up"
"Persian","Growl","Normal","—","100",1,NA,NA,"Level up"
"Persian","Scratch","Normal","40","100",1,NA,NA,"Level up"
"Persian","Screech","Normal","—","85",1,NA,NA,"Level up"
"Persian","Bite","Normal","60","100",12,NA,NA,"Level up"
"Persian","Pay Day","Normal","40","100",17,NA,NA,"Level up"
"Persian","Screech","Normal","—","85",24,NA,NA,"Level up"
"Persian","Fury Swipes","Normal","18","80",37,NA,NA,"Level up"
"Persian","Slash","Normal","70","100",51,NA,NA,"Level up"
"Persian","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Persian","Body Slam","Normal","85","100",NA,NA,8,"Technical Machine"
"Persian","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Persian","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Persian","BubbleBeam","Water","65","100",NA,NA,11,"Technical Machine"
"Persian","Water Gun","Water","40","100",NA,NA,12,"Technical Machine"
"Persian","Hyper Beam","Normal","150","90",NA,NA,15,"Technical Machine"
"Persian","Pay Day","Normal","40","100",NA,NA,16,"Technical Machine"
"Persian","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Persian","Thunderbolt","Electric","95","100",NA,NA,24,"Technical Machine"
"Persian","Thunder","Electric","120","70",NA,NA,25,"Technical Machine"
"Persian","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Persian","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Persian","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Persian","Swift","Normal","60","∞",NA,NA,39,"Technical Machine"
"Persian","Skull Bash","Normal","100","100",NA,NA,40,"Technical Machine"
"Persian","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Persian","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Psyduck","Scratch","Normal","40","100",1,NA,NA,"Level up"
"Psyduck","Tail Whip","Normal","—","100",28,NA,NA,"Level up"
"Psyduck","Disable","Normal","—","55",31,NA,NA,"Level up"
"Psyduck","Confusion","Psychic","50","100",36,NA,NA,"Level up"
"Psyduck","Fury Swipes","Normal","18","80",43,NA,NA,"Level up"
"Psyduck","Hydro Pump","Water","120","80",52,NA,NA,"Level up"
"Psyduck","Surf","Water","95","100",NA,3,NA,"Hidden Machine"
"Psyduck","Strength","Normal","80","100",NA,4,NA,"Hidden Machine"
"Psyduck","Mega Punch","Normal","80","85",NA,NA,1,"Technical Machine"
"Psyduck","Mega Kick","Normal","120","75",NA,NA,5,"Technical Machine"
"Psyduck","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Psyduck","Body Slam","Normal","85","100",NA,NA,8,"Technical Machine"
"Psyduck","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Psyduck","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Psyduck","BubbleBeam","Water","65","100",NA,NA,11,"Technical Machine"
"Psyduck","Water Gun","Water","40","100",NA,NA,12,"Technical Machine"
"Psyduck","Ice Beam","Ice","95","100",NA,NA,13,"Technical Machine"
"Psyduck","Blizzard","Ice","120","90",NA,NA,14,"Technical Machine"
"Psyduck","Pay Day","Normal","40","100",NA,NA,16,"Technical Machine"
"Psyduck","Submission","Fighting","80","80",NA,NA,17,"Technical Machine"
"Psyduck","Counter","Fighting","—","100",NA,NA,18,"Technical Machine"
"Psyduck","Seismic Toss","Fighting","—","100",NA,NA,19,"Technical Machine"
"Psyduck","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Psyduck","Dig","Ground","100","100",NA,NA,28,"Technical Machine"
"Psyduck","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Psyduck","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Psyduck","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Psyduck","Swift","Normal","60","∞",NA,NA,39,"Technical Machine"
"Psyduck","Skull Bash","Normal","100","100",NA,NA,40,"Technical Machine"
"Psyduck","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Psyduck","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Golduck","Disable","Normal","—","55",1,NA,NA,"Level up"
"Golduck","Scratch","Normal","40","100",1,NA,NA,"Level up"
"Golduck","Tail Whip","Normal","—","100",1,NA,NA,"Level up"
"Golduck","Tail Whip","Normal","—","100",28,NA,NA,"Level up"
"Golduck","Disable","Normal","—","55",31,NA,NA,"Level up"
"Golduck","Confusion","Psychic","50","100",39,NA,NA,"Level up"
"Golduck","Fury Swipes","Normal","18","80",48,NA,NA,"Level up"
"Golduck","Hydro Pump","Water","120","80",59,NA,NA,"Level up"
"Golduck","Surf","Water","95","100",NA,3,NA,"Hidden Machine"
"Golduck","Strength","Normal","80","100",NA,4,NA,"Hidden Machine"
"Golduck","Mega Punch","Normal","80","85",NA,NA,1,"Technical Machine"
"Golduck","Mega Kick","Normal","120","75",NA,NA,5,"Technical Machine"
"Golduck","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Golduck","Body Slam","Normal","85","100",NA,NA,8,"Technical Machine"
"Golduck","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Golduck","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Golduck","BubbleBeam","Water","65","100",NA,NA,11,"Technical Machine"
"Golduck","Water Gun","Water","40","100",NA,NA,12,"Technical Machine"
"Golduck","Ice Beam","Ice","95","100",NA,NA,13,"Technical Machine"
"Golduck","Blizzard","Ice","120","90",NA,NA,14,"Technical Machine"
"Golduck","Hyper Beam","Normal","150","90",NA,NA,15,"Technical Machine"
"Golduck","Pay Day","Normal","40","100",NA,NA,16,"Technical Machine"
"Golduck","Submission","Fighting","80","80",NA,NA,17,"Technical Machine"
"Golduck","Counter","Fighting","—","100",NA,NA,18,"Technical Machine"
"Golduck","Seismic Toss","Fighting","—","100",NA,NA,19,"Technical Machine"
"Golduck","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Golduck","Dig","Ground","100","100",NA,NA,28,"Technical Machine"
"Golduck","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Golduck","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Golduck","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Golduck","Swift","Normal","60","∞",NA,NA,39,"Technical Machine"
"Golduck","Skull Bash","Normal","100","100",NA,NA,40,"Technical Machine"
"Golduck","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Golduck","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Mankey","Leer","Normal","—","100",1,NA,NA,"Level up"
"Mankey","Scratch","Normal","40","100",1,NA,NA,"Level up"
"Mankey","Karate Chop","Normal","50","100",15,NA,NA,"Level up"
"Mankey","Fury Swipes","Normal","18","80",21,NA,NA,"Level up"
"Mankey","Focus Energy","Normal","—","—",27,NA,NA,"Level up"
"Mankey","Seismic Toss","Fighting","—","100",33,NA,NA,"Level up"
"Mankey","Thrash","Normal","90","100",39,NA,NA,"Level up"
"Mankey","Strength","Normal","80","100",NA,4,NA,"Hidden Machine"
"Mankey","Mega Punch","Normal","80","85",NA,NA,1,"Technical Machine"
"Mankey","Mega Kick","Normal","120","75",NA,NA,5,"Technical Machine"
"Mankey","Toxic","Poison","—","85",NA,NA,6,"Technical Machine"
"Mankey","Body Slam","Normal","85","100",NA,NA,8,"Technical Machine"
"Mankey","Take Down","Normal","90","85",NA,NA,9,"Technical Machine"
"Mankey","Double-Edge","Normal","100","100",NA,NA,10,"Technical Machine"
"Mankey","Pay Day","Normal","40","100",NA,NA,16,"Technical Machine"
"Mankey","Submission","Fighting","80","80",NA,NA,17,"Technical Machine"
"Mankey","Counter","Fighting","—","100",NA,NA,18,"Technical Machine"
"Mankey","Seismic Toss","Fighting","—","100",NA,NA,19,"Technical Machine"
"Mankey","Rage","Normal","20","100",NA,NA,20,"Technical Machine"
"Mankey","Thunderbolt","Electric","95","100",NA,NA,24,"Technical Machine"
"Mankey","Thunder","Electric","120","70",NA,NA,25,"Technical Machine"
"Mankey","Dig","Ground","100","100",NA,NA,28,"Technical Machine"
"Mankey","Mimic","Normal","—","100",NA,NA,31,"Technical Machine"
"Mankey","Double Team","Normal","—","—",NA,NA,32,"Technical Machine"
"Mankey","Bide","Normal","—","—",NA,NA,34,"Technical Machine"
"Mankey","Metronome","Normal","—","—",NA,NA,35,"Technical Machine"
"Mankey","Swift","Normal","60","∞",NA,NA,39,"Technical Machine"
"Mankey","Skull Bash","Normal","100","100",NA,NA,40,"Technical Machine"
"Mankey","Rest","Psychic","—","—",NA,NA,44,"Technical Machine"
"Mankey","Rock Slide","Rock","75","90",NA,NA,48,"Technical Machine"
"Mankey","Substitute","Normal","—","—",NA,NA,50,"Technical Machine"
"Primeape","Fury Swipes","Normal","18","80",1,NA,NA,"Level up"
"Primeape","Karate Chop","Normal","50","100",1,NA,NA,"Level up"
